iter	Passed	Remaining
0	2	296
1	5	259
2	7	250
3	8	203
4	10	206
5	13	204
6	15	203
7	17	203
8	19	201
9	22	200
10	24	199
11	26	197
12	29	194
13	31	192
14	33	191
15	36	190
16	38	188
17	40	186
18	43	184
19	45	182
20	48	180
21	50	178
22	52	177
23	55	175
24	57	173
25	60	171
26	62	169
27	65	167
28	67	165
29	69	163
30	72	160
31	74	158
32	77	156
33	79	154
34	82	152
35	84	150
36	86	148
37	89	145
38	91	143
39	94	141
40	96	138
41	98	136
42	101	134
43	103	131
44	105	129
45	108	126
46	110	124
47	112	122
48	115	119
49	117	117
50	120	115
51	122	112
52	124	110
53	127	108
54	129	105
55	131	103
56	134	101
57	136	98
58	139	96
59	141	94
60	143	91
61	146	89
62	148	87
63	151	84
64	153	82
65	155	80
66	157	77
67	160	75
68	162	73
69	164	70
70	167	68
71	169	65
72	171	63
73	174	61
74	176	58
75	178	56
76	181	54
77	183	51
78	185	49
79	188	47
80	190	44
81	192	42
82	195	40
83	197	37
84	200	35
85	202	32
86	204	30
87	207	28
88	209	25
89	211	23
90	214	21
91	216	18
92	219	16
93	221	14
94	223	11
95	226	9
96	228	7
97	231	4
98	233	2
99	236	0
